domain,size,count_fetched,count_errors,count_total,num_childs,time_elapsed in sec,avg fetching time in sec,avg size in kB,error percentage
concertospaulinia.com.br,4330,2,0,2,0,0.481329,0.2406645,2165.0,0.0
cabdisco.com.br,504,1,0,1,0,0.846705,0.846705,504.0,0.0
brasilbandalarga.com.br,162,1,0,1,0,3.37848,3.37848,162.0,0.0
halls.com.br,695447,1,0,1,0,2.99152,2.99152,695447.0,0.0
cartoonmodern.blogsome.com,5335,1,0,1,0,2.2204,2.2204,5335.0,0.0
br.linkedin.com,73935,1,18,19,9,3.57794,3.57794,73935.0,0.9473684210526315
dell.com.br,236238,1,0,1,0,3.01456,3.01456,236238.0,0.0
abcoldcar.com.br,23589,1,0,1,0,3.67929,3.67929,23589.0,0.0
superdelivery.com.br,329,1,1,2,0,1.55797,1.55797,329.0,0.5
africaemnos.com.br,2522,1,0,1,0,0.340809,0.340809,2522.0,0.0
pizzataco.com.br,691947,1,0,1,0,2.3068,2.3068,691947.0,0.0
livepass.showare.com.br,33699,1,0,1,0,2.85916,2.85916,33699.0,0.0
anushachocolates.com.br,59257,1,2,3,0,0.641283,0.641283,59257.0,0.6666666666666666
kinoforum.org,57492,1,0,1,0,3.50706,3.50706,57492.0,0.0
mixfm.com.br,120638,1,0,1,0,0.576736,0.576736,120638.0,0.0
expomusic.com.br,73,1,0,1,0,0.124426,0.124426,73.0,0.0
sirena.com.br,518,1,0,1,0,2.71953,2.71953,518.0,0.0
credicardhall.com.br,116,1,0,1,0,0.165645,0.165645,116.0,0.0
barbrahma.com.br,62354,1,0,1,0,3.52458,3.52458,62354.0,0.0
sedoparking.com,3685,1,0,1,0,1.55761,1.55761,3685.0,0.0
habibsdelivery.com.br,149186,1,0,1,0,1.13037,1.13037,149186.0,0.0
pizzahutsp.com.br,150,1,0,1,0,0.201584,0.201584,150.0,0.0
britocimino.com.br.,61210,1,0,1,0,3.70278,3.70278,61210.0,0.0
festivaldecinemainfantil.com.br,2483,1,0,1,0,1.7983,1.7983,2483.0,0.0
viewmorepics.myspace.com,265758,1,0,1,0,3.28281,3.28281,265758.0,0.0
mega.co.nz,555,1,0,1,0,2.15544,2.15544,555.0,0.0
thingiverse.com,7104,1,0,1,0,2.38659,2.38659,7104.0,0.0
us.playstation.com,178821,1,0,1,0,1.32678,1.32678,178821.0,0.0
viradacultural.org,29674,1,0,1,0,2.03603,2.03603,29674.0,0.0
culturaartistica.com.br,133,1,0,1,0,0.599946,0.599946,133.0,0.0
ciee.org.br,171616,1,0,1,0,1.34784,1.34784,171616.0,0.0
cinemateca.gov.br,170932,1,3,4,0,2.04299,2.04299,170932.0,0.75
radio.uol.com.br,7981,1,0,1,0,0.795113,0.795113,7981.0,0.0
pinacoteca.org.br,55125,1,1,2,0,0.732152,0.732152,55125.0,0.5
login.globo.com,31598,1,0,1,0,0.280397,0.280397,31598.0,0.0
ajudacomentarios.globo.com,28649,1,0,1,0,0.465455,0.465455,28649.0,0.0
mininova.org,1630,1,0,1,0,0.840717,0.840717,1630.0,0.0
ingresso.com.br,855365,1,1,2,0,2.51524,2.51524,855365.0,0.5
minhaconta.globo.com,1410,1,0,1,0,0.285371,0.285371,1410.0,0.0
simet.nic.br,1532,1,0,1,0,0.60592,0.60592,1532.0,0.0
iguatemialphaville.com.br,90892,1,0,1,0,3.66578,3.66578,90892.0,0.0
zetks.com,0,1,0,1,0,0.436591,0.436591,0.0,0.0
ticketbrasi.lojatemporaria.com,0,0,1,1,0,0.0,0.0,0.0,0.0
indiefestival.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
rockinrio.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
bierboxx.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
daitake.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
bb.com.br,0,0,8,8,0,0.0,0.0,0.0,0.0
sosjapan.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
paulagradicola.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
yesrockfest.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
escolasaopaulo.org,0,0,1,1,0,0.0,0.0,0.0,0.0
ice-sanpaolo.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
teatrofecap.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
freddo.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
madamesatafest.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
obaobaingressos.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
app.radio.musica.uol.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
pes.konami.com,0,0,1,1,0,0.0,0.0,0.0,0.0
gillestoutevoix.com,0,0,1,1,0,0.0,0.0,0.0,0.0
credicard.com.br,0,0,4,4,0,0.0,0.0,0.0,0.0
hsbcbrasil.com.br,0,0,5,5,0,0.0,0.0,0.0,0.0
generalprimeburguer.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
cinemateca.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
meggaclub.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
carambolarecords.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
residentadvisor.net,0,0,1,1,0,0.0,0.0,0.0,0.0
catracalivre.folha.uol.com.br,0,0,4,4,0,0.0,0.0,0.0,0.0
207.36.181.42,0,0,1,1,0,0.0,0.0,0.0,0.0
ladolcevitaristorante.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
spterror.com,0,0,1,1,0,0.0,0.0,0.0,0.0
store.slingbox.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
poiesis.org.br,0,0,1,1,0,0.0,0.0,0.0,0.0
mondopizza.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
myrango.com,0,0,1,1,0,0.0,0.0,0.0,0.0
thepiratebay.se,0,0,1,1,0,0.0,0.0,0.0,0.0
pizzariabruno.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
casabraz.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
restauranteweb.com.br,0,0,2,2,0,0.0,0.0,0.0,0.0
torrentday.com,0,0,1,1,0,0.0,0.0,0.0,0.0
culturajudaica.uol.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
nikerunning.nike.com,0,0,1,1,0,0.0,0.0,0.0,0.0
criacaoscotch.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
https,0,0,24,24,0,0.0,0.0,0.0,0.0
cooperativademusica.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
bichosdozoo.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
tacosmexeco.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
http,0,0,17,17,0,0.0,0.0,0.0,0.0
techsrv.techtudo.com.br,0,0,7,7,0,0.0,0.0,0.0,0.0
ciemateca.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
guia1.foha.com.br,0,0,4,4,0,0.0,0.0,0.0,0.0
planetchokolate.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
madamedorvilliers.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
pecadilledelicat.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
viafunchal.showare.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
forza,0,0,1,1,0,0.0,0.0,0.0,0.0
baixatudo.globo.com,0,0,2,2,0,0.0,0.0,0.0,0.0
pterodatilos.com.br,0,0,1,1,0,0.0,0.0,0.0,0.0
techtudo-v2.admin.globoi.com,0,0,1,1,0,0.0,0.0,0.0,0.0
